type,id,geometry.type,geometry.coordinates,properties.xid,properties.name,properties.dist,properties.rate,properties.osm,properties.kinds,properties.wikidata
Feature,14732446,Point,"[1.1628333, 45.0640831]",Q22996221,Montignac Duchêne house,7018.68143914,7,,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Q22996221
Feature,11422107,Point,"[1.21052, 45.044487]",W350900786,Château de la Grande Filolie,7025.53068694,7,way/350900786,"fortifications,historic,interesting_places,castles",Q2971255
Feature,11403389,Point,"[1.1600305, 45.0657272]",W188893723,Hôtel de Bouilhac,7066.23989338,7,way/188893723,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Q21427399
Feature,7053838,Point,"[1.1698933, 45.0582962]",W550229889,Lascaux Centre International,7086.61912027,1,way/550229889,"cultural,museums,interesting_places,other_museums",
Feature,2091715,Point,"[1.1581168, 45.1464996]",W291210137,,7151.71015973,0,way/291210137,"cemeteries,historic,burial_places,interesting_places",
Feature,14913649,Point,"[1.17, 45.0574989]",Q463159,Prehistoric Sites and Decorated Caves of the Vézère Valley,7148.17352183,7,,"historic,archaeology,interesting_places,natural,geological_formations,other_archaeological_sites,caves",Q463159
Feature,6815168,Point,"[1.2992536, 45.0651131]",N6612073691,Event de la Bouygue,7173.23713815,1,node/6612073691,"geological_formations,natural,interesting_places,caves",
Feature,14418058,Point,"[1.1592789, 45.0645027]",H2472951,hotel de bouilhac,7199.10909005,7,,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Q21427399
Feature,11171614,Point,"[1.1367891, 45.1047516]",W604551156,Église Saint-Étienne d'Auriac-du-Périgord,7268.65577698,7,way/604551156,"religion,churches,interesting_places,other_churches",Q3584741
Feature,11171615,Point,"[1.1367044, 45.1047783]",N8777573817,Église Saint-Étienne d'Auriac-du-Périgord,7275.24377808,7,node/8777573817,"religion,churches,interesting_places,other_churches",Q3584741
Feature,2091632,Point,"[1.2202066, 45.0412598]",N5340531879,,7263.77926007,0,node/5340531879,"other,unclassified_objects,interesting_places,historic_object",
Feature,15873950,Point,"[1.179582, 45.0509033]",Q22920009,gisement préhistorique de La Balutie,7289.25211634,6,,"historic,archaeology,interesting_places,other_archaeological_sites",Q22920009
Feature,11236227,Point,"[1.1538892, 45.1462936]",W503435490,église Saint-Pierre-ès-Liens de La Bachellerie,7400.81111046,2,way/503435490,"religion,churches,interesting_places,catholic_churches",Q41749589
Feature,2091803,Point,"[1.3063278, 45.1447449]",W636078161,,7425.4686217,0,way/636078161,"historic,monuments_and_memorials,interesting_places,monuments",
Feature,11284678,Point,"[1.170959, 45.0537643]",N3182744761,Grotte de Lascaux,7421.26303114,7,node/3182744761,"historic,archaeology,geological_formations,natural,interesting_places,other_archaeological_sites,caves",Q172125
Feature,11790231,Point,"[1.3065022, 45.144722]",W636078160,Église Saint-Barthélemy de Cublac,7435.26323504,2,way/636078160,"religion,churches,interesting_places,catholic_churches",Q38429243
Feature,15613656,Point,"[1.17611, 45.0491982]",Q7762483,The Scene of the Dead Man,7596.75014137,2,,"interesting_places,natural,geological_formations,caves",Q7762483
Feature,2091647,Point,"[1.1671724, 45.0537071]",N260797495,Lascaux II,7613.93424611,1,node/260797495,"historic,archaeology,interesting_places,other_archaeological_sites",
Feature,7045571,Point,"[1.3219639, 45.1271095]",N5830591856,Musée du Chocolat Bovetti,7662.37478973,1,node/5830591856,"cultural,museums,interesting_places,other_museums",
Feature,2091670,Point,"[1.1314703, 45.104763]",W310863403,,7687.10718986,0,way/310863403,"cemeteries,historic,burial_places,interesting_places",
Feature,2091804,Point,"[1.3099593, 45.1455956]",W299229859,,7714.14944491,0,way/299229859,"cemeteries,historic,burial_places,interesting_places",
Feature,15548021,Point,"[1.3014131, 45.1534843]",Q60442353,collégiale Notre-Dame de la Cabane de Cublac,7734.63467874,1,,"religion,churches,interesting_places,catholic_churches",Q60442353
Feature,2091718,Point,"[1.1566247, 45.1549149]",N1714485430,,7854.62172501,0,node/1714485430,"other,unclassified_objects,interesting_places,historic_object",
Feature,7165888,Point,"[1.1290487, 45.1125107]",W485737769,,7905.28259395,0,way/485737769,"fountains,cultural,urban_environment,interesting_places",
Feature,11263980,Point,"[1.1342356, 45.0815773]",R2550009,Château de Coulonges,7958.96095535,6,relation/2550009,"fortifications,historic,interesting_places,castles",Q22920006
Feature,15129146,Point,"[1.166666, 45.0499992]",Q103154479,Brenac (Samian Ware Discovery Site),7959.37270924,1,,"historic,archaeology,interesting_places,other_archaeological_sites",Q103154479
Feature,16007527,Point,"[1.13403, 45.0807495]",Q64686744,Chapelle du château de Coulonges,8006.33114972,2,,"religion,churches,interesting_places,other_churches",Q64686744
Feature,9966829,Point,"[1.2254339, 45.0336609]",N5842118658,,8079.27405086,0,node/5842118658,"view_points,other,interesting_places",
Feature,11356628,Point,"[1.1260494, 45.1051521]",N4546228664,Château de la Faye,8112.81579389,7,node/4546228664,"fortifications,historic,interesting_places,castles",Q2971221
Feature,14505165,Point,"[1.33223, 45.1174583]",Q25394186,monastère de la Transfiguration,8208.09930039,2,,"religion,monasteries,interesting_places",Q25394186
Feature,11541011,Point,"[1.2286234, 45.1805229]",N5660812158,Domaine Le Noyer,8247.36699164,5,node/5660812158,"architecture,historic_architecture,fortifications,historic,interesting_places,castles,farms",Q59342805
Feature,15190200,Point,"[1.2576112, 45.17836]",Q22996195,grotte préhistorique de la Sudrie,8314.53456941,5,,"interesting_places,natural,geological_formations,caves",Q22996195
Feature,11171616,Point,"[1.1222651, 45.1107941]",W362418222,Chapelle Saint-Rémy,8423.92787945,7,way/362418222,"religion,churches,interesting_places,other_churches",Q2956981
Feature,11567296,Point,"[1.1392502, 45.1486702]",W291430108,Château de Rastignac,8493.71751956,7,way/291430108,"fortifications,historic,interesting_places,castles",Q2417255
Feature,2091719,Point,"[1.1559108, 45.1658783]",W152837044,,8773.76713801,0,way/152837044,"cemeteries,historic,burial_places,interesting_places",
Feature,16231424,Point,"[1.152613, 45.0480347]",Q60336776,chapelle de Brénac,8845.40475257,1,,"religion,churches,interesting_places,other_churches",Q60336776
Feature,2091635,Point,"[1.1527125, 45.0479126]",W367554217,,8850.03277401,0,way/367554217,"cemeteries,historic,burial_places,interesting_places",
Feature,16102662,Point,"[1.140944, 45.1576118]",Q22975861,grotte du Peyrat,8978.43858689,5,,"interesting_places,natural,geological_formations,caves",Q22975861
Feature,2091922,Point,"[1.2531455, 45.1859055]",W137654251,,9045.0062504,0,way/137654251,"cemeteries,historic,burial_places,interesting_places",
Feature,2091924,Point,"[1.2544926, 45.1866074]",N1509726730,,9143.56586106,0,node/1509726730,"historic,burial_places,interesting_places,war_memorials",
Feature,11515084,Point,"[1.2550247, 45.1866379]",W521368127,Église Saint-Vaast de Villac,9156.09566921,6,way/521368127,"religion,churches,interesting_places,catholic_churches",Q41750192
Feature,2091845,Point,"[1.2045314, 45.1870766]",W274288571,,9181.46179733,0,way/274288571,"cemeteries,historic,burial_places,interesting_places",
Feature,2091844,Point,"[1.2060393, 45.1873016]",N6274788928,,9181.50279828,0,node/6274788928,"other,unclassified_objects,interesting_places,historic_object",
Feature,11420305,Point,"[1.204215, 45.1871834]",W367089434,Église Notre-Dame-de-la-Nativité de Châtres,9198.14754774,2,way/367089434,"religion,churches,interesting_places,catholic_churches",Q38387055
Feature,11448135,Point,"[1.2546784, 45.1870995]",N5660812159,Maison Salviat,9200.06936858,6,node/5660812159,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Q22988280
Feature,2091745,Point,"[1.3116518, 45.0467911]",N3785802032,,9273.21526684,0,node/3785802032,"other,unclassified_objects,interesting_places,historic_object",
Feature,11592324,Point,"[1.3098184, 45.0453339]",N5830591857,Grange dîmière de La Cassagne,9290.15685773,6,node/5830591857,"cultural,museums,interesting_places,other_museums",Q22919170
Feature,2091716,Point,"[1.1514983, 45.1697273]",N5322839821,,9324.35812312,0,node/5322839821,"historic,burial_places,interesting_places,war_memorials",
Feature,11604960,Point,"[1.1511481, 45.1698837]",W274285705,Église Saint-Pierre-et-Saint-Paul de Saint-Rabier,9355.35069328,2,way/274285705,"religion,churches,interesting_places,catholic_churches",Q41750082
Feature,11231596,Point,"[1.1239595, 45.1498604]",W291431119,Église Notre-Dame-de-l'Assomption d'Azerat,9584.53060909,2,way/291431119,"religion,churches,interesting_places,other_churches",Q38388979
Feature,2091687,Point,"[1.1241918, 45.1503181]",N4940996432,,9594.55963111,0,node/4940996432,"historic,monuments_and_memorials,interesting_places,monuments",
Feature,2091688,Point,"[1.123508, 45.1495438]",W291431117,,9597.65793791,0,way/291431117,"cemeteries,historic,burial_places,interesting_places",
Feature,15873940,Point,"[1.315889, 45.0450554]",Q22919171,Presbytère de La Cassagne,9645.20431672,7,,"religion,other_temples,interesting_places",Q22919171
Feature,11725636,Point,"[1.3160684, 45.0449562]",W387299736,Église Saint-Barthélemy,9663.15537861,7,way/387299736,"religion,churches,interesting_places,catholic_churches",Q3581035
Feature,11725635,Point,"[1.316093, 45.0447655]",N4771839521,Croix,9679.45000839,6,node/4771839521,"religion,other_temples,interesting_places",Q22919169
Feature,2091672,Point,"[1.1061625, 45.1131516]",W493110230,,9706.0161506,0,way/493110230,"fortifications,historic,interesting_places,fortified_towers",
Feature,11633587,Point,"[1.1224132, 45.1510887]",W504848591,Chapelle Notre-Dame-de-Bonne-Espérance (Azerat),9758.55067631,7,way/504848591,"religion,churches,interesting_places,catholic_churches",Q2956566
Feature,2091753,Point,"[1.3196112, 45.0441551]",W316116340,,9924.60120001,0,way/316116340,"cemeteries,historic,burial_places,interesting_places",
